firstname,rightname,first_location,second_location,third_location,phone,link
Sieber Recycling + Containerdienst,Top Partner,Recycling,"Thalheimer Str. 17‑21,",Chemnitz,0162 1 97 72 98,http://www.recycling-sieber.de
Abfall-Containerdienst Rehbach GmbH,Top Partner,Recycling,"An der Zinkhütte 7,",51469 Bergisch Gladbach,02202 5 66 65,http://www.rehbach-gmbh.de
Baumann Rohstoff-Recycling GmbH,Top Partner,Recycling,"Im Grein 19,",76829 Landau,06341 93 31 33,http://www.baumann-landau.de
Mehl Recycling GmbH,Top Partner,Recycling,"Hohe Str. 93‑95,",53119 Bonn,0228 85 03 09 94,http://www.mehl-recycling.de
Sieber Recycling + Containerdienst,Top Partner,Recycling,"Am Rummel 5,",09123 Chemnitz,0371 22 40 00,http://www.recycling-sieber.de
THV Metallrecycling München GmbH,Top Partner,Recycling,"Herbert‑Quandt‑Str. 15,",81549 München,089 6 90 03 78,http://www.thv-metallrecycling.de
Trapper GmbH - Schrottverwertung & Containerdienst,Top Partner,Recycling,"Am Goldenen Feld 31,",95326 Kulmbach,09221 9 06 90,https://www.trapper-kulmbach.de/
Werner RC GmbH + Co. Recycling Centrum KG,Top Partner,Recycling,"An der Lache 123,",63773 Goldbach,06021 50 15-0,http://www.werner-entsorgt.de
WERTZ Handelsgesellschaft mbH & Co. KG,Top Partner,Recycling,"Rödgerheidweg 34,",52068 Aachen,0241 55 50 20,http://www.wertz.de
"WOLFANGER UMWELTSERVICE GMBH, Entsorgung ist Vertrauenssache",Top Partner,Recycling,"Am Kohlwaldaufstieg 1,",66540 Neunkirchen,06821 95 91 11,http://www.wolfanger.de
BEST AöR - Recyclinghof Donnerberg,Top Partner,Recycling,"Südring 73,",46242 Bottrop,02041 79 69-97,http://www.best-bottrop.de
"documentus GmbH Bremen, vormals: REISSWOLF Akten- u. Datenvernichtung GmbH Bremen",Top Partner,Recycling,"Mittelkampstr. 1,",28197 Bremen,0421 69 65 55,http://www.documentus.de
DOGA Dortmunder Gesellschaft für Abfall mbH,Top Partner,Recycling,"Heinrich‑August‑Schulte‑Str. 21,",44147 Dortmund,0231 91 11-9 00,http://www.doga.de
FINKEL GmbH,Top Partner,Recycling,"Am Rosshimmel 10,",86368 Gersthofen,0821 41 90 07-0,http://www.recycling-finkel.de
Fuchs Hermann Bauunternehmung GmbH,Top Partner,Recycling,"Mühlgraben 46,",73479 Ellwangen,07961 90 53-0,http://www.hermann-fuchs-bau.de
Heinrich Feess GmbH & Co. KG,Top Partner,Recycling,"Heinkelstr. 2,",73230 Kirchheim,07021 98 59-8,http://www.feess.de
